Date,Total_Demand
2012-01-05,149300.0
2012-01-06,152200.0
2012-01-10,48400.0
2012-01-11,33900.0
2012-01-12,26600.0
2012-01-13,1500.0
2012-01-16,86800.0
2012-01-17,178400.0
2012-01-18,52500.0
2012-01-19,29300.0
2012-01-20,13000.0
2012-01-23,213600.0
2012-01-24,41100.0
2012-01-25,64000.0
2012-01-26,73000.0
2012-01-27,21000.0
2012-01-30,23000.0
2012-01-31,64500.0
2012-02-01,46700.0
2012-02-02,3300.0
2012-02-03,13100.0
2012-02-06,44600.0
2012-02-07,63900.0
2012-02-08,57000.0
2012-02-09,5100.0
2012-02-10,49000.0
2012-02-13,21100.0
2012-02-14,28200.0
2012-02-15,116600.0
2012-02-16,27500.0
2012-02-17,13000.0
2012-02-20,166000.0
2012-02-21,55000.0
2012-02-22,53000.0
2012-02-23,36500.0
2012-02-24,22100.0
2012-02-27,79000.0
2012-02-28,80000.0
2012-02-29,66600.0
2012-03-01,5600.0
2012-03-02,61000.0
2012-03-05,31000.0
2012-03-06,58300.0
2012-03-07,50200.0
2012-03-08,21200.0
2012-03-09,80300.0
2012-03-12,82200.0
2012-03-13,108500.0
2012-03-14,156000.0
2012-03-15,90500.0
2012-03-16,21600.0
2012-03-21,32600.0
2012-03-22,42400.0
2012-03-23,126500.0
2012-03-26,65800.0
2012-03-27,65600.0
2012-03-28,66100.0
2012-03-29,71000.0
2012-03-30,101300.0
2012-04-01,5000.0
2012-04-02,39900.0
2012-04-03,88800.0
2012-04-04,33500.0
2012-04-05,30500.0
2012-04-06,98000.0
2012-04-09,108500.0
2012-04-10,51000.0
2012-04-11,33000.0
2012-04-12,18300.0
2012-04-13,30500.0
2012-04-15,20000.0
2012-04-16,115000.0
2012-04-17,65700.0
2012-04-18,59300.0
2012-04-19,160500.0
2012-04-20,50500.0
2012-04-23,65400.0
2012-04-24,90100.0
2012-04-25,56000.0
2012-04-26,43300.0
2012-04-27,31500.0
2012-05-01,60600.0
2012-05-02,21000.0
2012-05-07,65600.0
2012-05-08,16100.0
2012-05-09,98000.0
2012-05-10,62200.0
2012-05-11,95300.0
2012-05-14,23500.0
2012-05-15,52500.0
2012-05-16,24000.0
2012-05-17,29000.0
2012-05-18,39000.0
2012-05-21,65300.0
2012-05-22,53000.0
2012-05-23,4200.0
2012-05-24,31000.0
2012-05-25,38600.0
2012-05-28,92000.0
2012-05-29,21500.0
2012-05-30,15300.0
2012-05-31,72000.0
2012-06-01,93000.0
2012-06-04,60500.0
2012-06-05,70500.0
2012-06-06,32600.0
2012-06-07,30000.0
2012-06-08,77000.0
2012-06-11,103500.0
2012-06-12,31100.0
2012-06-13,58600.0
2012-06-14,16200.0
2012-06-15,31000.0
2012-06-18,119100.0
2012-06-19,233200.0
2012-06-20,31000.0
2012-06-21,121600.0
2012-06-22,40000.0
2012-06-25,16000.0
2012-06-26,53100.0
2012-06-27,60000.0
2012-06-28,67000.0
2012-06-29,26500.0
2012-07-02,46000.0
2012-07-03,95000.0
2012-07-04,78500.0
2012-07-05,73700.0
2012-07-06,10000.0
2012-07-09,30000.0
2012-07-10,18000.0
2012-07-11,56900.0
2012-07-12,2000.0
2012-07-13,23300.0
2012-07-17,65300.0
